unix_time,iso_time,load1,load5,load15,running_over_total,my_annealctrl_procs
1789767751,2026-09-18T17:42:31-04:00,40.09,37.96,36.06,42/935,25
1789767782,2026-09-18T17:43:02-04:00,40.06,38.15,36.19,44/935,25
1789767812,2026-09-18T17:43:32-04:00,40.09,38.35,36.31,41/932,24
1789767842,2026-09-18T17:44:02-04:00,40.19,38.54,36.44,41/934,24
1789767872,2026-09-18T17:44:32-04:00,40.27,38.71,36.57,59/1015,26
1789767902,2026-09-18T17:45:02-04:00,44.76,39.94,37.04,55/1015,26
1789767932,2026-09-18T17:45:32-04:00,48.49,41.31,37.60,59/1012,26
1789767962,2026-09-18T17:46:02-04:00,50.27,42.46,38.10,59/1011,26
1789767992,2026-09-18T17:46:32-04:00,52.52,43.75,38.67,61/1010,26
1789768022,2026-09-18T17:47:02-04:00,53.17,44.76,39.17,58/1010,26
1789768052,2026-09-18T17:47:32-04:00,53.35,45.59,39.62,57/1005,26
1789768082,2026-09-18T17:48:02-04:00,55.62,46.90,40.25,57/1004,26
1789768112,2026-09-18T17:48:32-04:00,55.37,47.66,40.71,54/1002,26
1789768142,2026-09-18T17:49:02-04:00,54.29,48.12,41.08,53/1004,26
1789768172,2026-09-18T17:49:32-04:00,54.30,48.69,41.50,59/1006,26
1789768202,2026-09-18T17:50:02-04:00,53.27,48.97,41.82,60/1006,26
1789768233,2026-09-18T17:50:33-04:00,54.12,49.60,42.26,58/1010,26
1789768263,2026-09-18T17:51:03-04:00,54.63,50.15,42.68,58/1008,26
1789768293,2026-09-18T17:51:33-04:00,55.09,50.69,43.09,58/1008,26
1789768323,2026-09-18T17:52:03-04:00,54.64,51.01,43.44,57/1011,26
1789768353,2026-09-18T17:52:33-04:00,54.93,51.42,43.82,55/1013,26
1789768383,2026-09-18T17:53:03-04:00,54.98,51.83,44.24,53/1012,26
1789768413,2026-09-18T17:53:33-04:00,55.10,52.16,44.59,59/1013,26
1789768443,2026-09-18T17:54:03-04:00,55.32,52.49,44.95,57/1017,26
1789768473,2026-09-18T17:54:33-04:00,55.36,52.77,45.28,60/1020,26
1789768503,2026-09-18T17:55:03-04:00,54.79,52.88,45.56,56/1028,26
